,sold_quantity
5436,3.1
5381,0.0
29667,0.0
88972,0.0
126794,3.05
10248,0.0
95130,0.7
18998,0.0
24761,1.15
81832,1.65
51045,0.0
31292,0.0
89865,0.0
28970,0.0
39222,0.4
30784,0.0
16662,0.0
7825,0.55
320,0.0
31856,0.9
140657,2.6
148043,0.0
142598,0.0
128877,0.0
165550,0.0
100531,0.0
124156,0.1
113198,0.0
159258,13.8
55562,0.15
118485,0.0
81051,0.0
45436,0.0
32082,0.35
63133,0.2
68531,2.0
77670,0.35
156815,3.55
113538,3.75
82445,1.1
129052,8.1
159737,0.0
22082,0.4
106120,1.0
44692,5.5
138198,0.0
55197,0.0
63688,0.0
139058,2.45
127446,0.0
56255,0.0
13512,0.0
165142,3.75
107581,0.9
134066,0.0
12266,0.0
161625,2.0
101537,0.0
113736,0.85
157313,0.0
64466,0.0
54413,0.0
36914,0.0
81608,0.1
16759,1.75
32711,0.05
147187,8.2
135348,2.0
120059,0.0
33948,0.0
34569,0.4
60238,0.0
37068,1.25
117714,0.0
9648,0.0
117405,0.0
107233,0.0
49287,0.0
158307,24.6
2174,0.35
115470,0.0
75242,8.45
163659,1.1
32533,0.0
63992,0.05
123204,2.55
122045,0.0
20521,2.5
93231,0.0
41580,0.4
26408,27.25
16839,0.05
77724,0.15
26042,2.25
71294,5.1
35624,0.0
114526,0.0
148599,0.0
158229,0.0
97622,0.0
144777,0.05
148673,0.4
118443,0.75
69727,0.0
29023,0.25
129843,2.6
3314,0.0
152433,0.0
76778,0.35
56848,6.85
110116,0.55
14932,0.0
48170,0.25
36103,2.7
18664,0.0
44114,0.0
97738,1.75
105840,0.0
61932,0.0
149232,0.05
94581,0.0
67540,1.0
51326,0.5
14950,1.4
136291,0.0
98963,0.45
44888,0.0
11688,0.0
44104,0.1
151599,0.0
163545,4.0
22538,0.0
130005,0.0
50569,1.25
12995,0.0
93580,0.0
103540,1.9
123375,1.05
65050,0.0
63167,0.0
47027,0.0
12052,0.0
78948,0.0
149557,1.05
149987,2.55
95531,0.0
36283,0.0
4771,0.0
37600,0.05
78920,0.15
90395,0.0
55194,2.6
1960,0.0
66926,0.0
86856,1.7
168883,10.3
149359,0.0
59258,0.0
98087,0.05
24358,0.0
141075,0.85
151923,0.0
112346,0.0
24920,1.6
83576,0.0
163190,0.7
82370,0.0
43707,0.0
36449,0.0
91051,0.05
99627,2.0
167322,0.0
163031,0.0
15830,0.0
132615,0.1
45327,0.0
121058,0.0
117772,0.0
25974,0.0
17562,0.0
165012,0.0
157991,0.3
88852,0.0
130354,0.05
139296,0.0
162681,8.25
17027,2.05
121038,1.1
135039,0.0
487,1.0
134455,6.5
80341,0.052000000000000005
120378,0.0
88969,0.0
85829,0.6
36257,5.3
117079,0.4
121217,0.0
2605,0.0
84345,0.0
115837,0.0
156143,0.0
87213,0.25
138828,2.9
166124,13.0
135845,0.0
163196,0.0
53285,0.1
4099,0.45
50898,0.0
128612,0.0
22096,0.0
114582,0.0
34375,0.0
58168,2.55
3133,0.0
5578,0.0
85370,3.55
167332,0.7
26639,0.0
22903,4.1
23356,0.0
74895,1.2
46209,0.0
31322,0.1
73685,0.0
7503,5.75
20777,0.0
50384,9.6
20171,0.0
127165,0.0
66013,0.0
97301,0.0
143242,0.05
96266,0.0
43658,0.0
140908,0.0
56783,0.0
133472,0.0
79123,0.0
53829,0.0
21177,0.0
17759,3.35
94189,0.0
2971,4.0
59551,0.0
108580,2.5
156663,5.95
122088,2.15
132780,0.0
81808,2.1
50215,0.0
77886,0.0
106135,0.95
63273,0.0
6429,24.05
4285,0.0
79239,5.05
111499,0.5
126204,0.0
123890,0.0
10992,0.2
167512,1.15
69561,0.0
75022,0.0
152724,0.0
48289,0.05
27678,4.5
19362,8.0
91941,0.0
54428,0.0
112192,3.2
57902,0.0
164196,0.2
141174,0.0
144419,0.0
76921,0.0
83828,2.15
112330,1.65
13731,0.0
96017,0.45
161620,0.0
129715,4.15
7964,0.4
145937,0.25
141576,0.15
56582,0.5
164127,0.0
132742,2.2
158466,1.05
96900,0.0
57583,0.05
121520,0.0
10536,0.0
150398,0.0
30991,0.0
3119,0.25
116141,0.65
26557,0.0
100485,0.0
158662,1.0
125882,0.0
139780,0.0
72996,0.0
134547,0.0
45419,0.0
122820,1.95
136678,0.8
154282,0.25
147166,0.0
13851,0.0
146055,0.0
156435,0.1
1782,0.4
13086,0.0
79984,3.0
107588,0.85
67563,6.75
52209,0.25
145362,11.5
67323,1.5
44314,0.3
11980,1.65
750,0.0
161442,0.0
8431,0.0
106806,0.0
158279,0.05
20161,0.0
78521,0.0
76466,0.5
16758,2.5
1104,1.35
45397,0.0
125954,0.3
144933,1.75
33781,0.0
46254,0.05
107917,2.25
59125,0.2
50204,0.05
2491,0.0
123432,0.5
67341,0.0
5499,0.05
90213,0.0
161282,0.0
34201,0.0
90387,0.85
26641,0.35
50410,1.75
99649,0.0
75490,0.0
7110,0.0
56713,0.0
165907,0.0
14664,2.3
103496,0.25
104231,0.2
41008,0.0
80359,0.0
95600,2.6
87401,0.0
34517,2.7
121894,0.25
102917,1.25
136102,4.5
121482,1.4
101425,23.55
114768,0.25
11572,0.0
24894,7.5
168757,0.0
32574,0.5
12696,0.0
111364,0.0
136421,4.25
115706,2.2
161113,0.0
14093,0.0
38307,1.4
163011,0.0
105422,11.7
10048,0.75
59536,0.0
67012,39.8
88453,0.0
77162,0.0
129511,0.0
82189,0.4
147193,0.7
84720,0.0
136153,0.0
103448,4.0
81870,0.0
36533,0.2
62363,0.0
20037,0.0
139366,0.0
143464,0.0
108654,1.4
65951,0.0
113435,0.0
8776,0.0
146619,3.55
38623,0.0
45123,0.0
67345,3.25
68423,0.0
116711,0.0
17,0.0
102875,0.35
57525,0.3
106853,0.55
58494,0.0
136164,1.15
67811,0.0
39595,14.9
160275,0.0
143883,0.1
5228,2.1
24668,2.4
90905,0.0
44736,2.25
69853,0.8
52855,0.85
110143,0.0
12977,1.45
32289,0.6
20426,2.85
96239,2.0
49833,0.0
57372,0.1
41433,0.0
114772,0.0
109196,0.15
25213,0.0
158670,0.25
34292,0.0
100251,0.05
53976,2.65
125358,0.2
122170,0.0
41321,0.1
148258,3.5
57622,3.25
160960,0.0
119740,2.6
93093,0.0
23547,0.0
106766,1.15
13536,0.0
10761,0.0
76643,0.0
125897,2.45
155758,0.4
21974,2.95
848,0.35
26414,1.35
17246,0.0
10317,0.0
129568,1.0
98998,0.0
118555,0.0
127190,0.0
156025,0.65
102526,0.0
132973,0.0
111513,0.0
4475,0.0
42104,0.0
111919,3.95
23293,1.65
14835,0.0
94730,0.45
28866,0.0
8837,0.0
132791,0.4
81240,4.25
168764,0.0
44852,0.0
115162,3.0
10294,0.0
46677,0.0
39065,0.0
57889,0.0
126295,0.95
159058,0.0
137654,6.9
84060,4.85
156633,0.0
68285,0.0
169355,0.15
148441,0.0
86020,0.0
48438,0.0
21771,1.0
54876,15.0
117570,0.0
12416,0.0
160630,0.0
135186,0.0
115653,0.15
